Index,category index,brand,link
94,15,ZEBRONICS,https://www.amazon.in/s?bbn=1375427031&rh=n%3A1375427031%2Cp_89%3AZEBRONICS&dc&qid=1687369715&rnid=3837712031&ref=lp_1375427031_nr_p_89_3
95,15,Cuzor,https://www.amazon.in/s?bbn=1375427031&rh=n%3A1375427031%2Cp_89%3ACuzor&dc&qid=1687369715&rnid=3837712031&ref=lp_1375427031_nr_p_89_4
96,15,Ambrane,https://www.amazon.in/s?bbn=1375427031&rh=n%3A1375427031%2Cp_89%3AAmbrane&dc&qid=1687369715&rnid=3837712031&ref=lp_1375427031_nr_p_89_5
97,15,D-Link,https://www.amazon.in/s?bbn=1375427031&rh=n%3A1375427031%2Cp_89%3AD-Link&dc&qid=1687369715&rnid=3837712031&ref=lp_1375427031_nr_p_89_6
98,16,LS LAPSTER Quality Assured,https://www.amazon.in/s?bbn=1375248031&rh=n%3A1375248031%2Cp_89%3ALS+LAPSTER+Quality+Assured&dc&qid=1687369717&rnid=3837712031&ref=lp_1375248031_nr_p_89_0
99,16,STRIFF,https://www.amazon.in/s?bbn=1375248031&rh=n%3A1375248031%2Cp_89%3ASTRIFF&dc&qid=1687369717&rnid=3837712031&ref=lp_1375248031_nr_p_89_1
100,16,Logitech,https://www.amazon.in/s?bbn=1375248031&rh=n%3A1375248031%2Cp_89%3ALogitech&dc&qid=1687369717&rnid=3837712031&ref=lp_1375248031_nr_p_89_2
101,16,Ambrane,https://www.amazon.in/s?bbn=1375248031&rh=n%3A1375248031%2Cp_89%3AAmbrane&dc&qid=1687369717&rnid=3837712031&ref=lp_1375248031_nr_p_89_3
102,16,ZEBRONICS,https://www.amazon.in/s?bbn=1375248031&rh=n%3A1375248031%2Cp_89%3AZEBRONICS&dc&qid=1687369717&rnid=3837712031&ref=lp_1375248031_nr_p_89_4
103,16,boAt,https://www.amazon.in/s?bbn=1375248031&rh=n%3A1375248031%2Cp_89%3AboAt&dc&qid=1687369717&rnid=3837712031&ref=lp_1375248031_nr_p_89_5
104,16,Portronics,https://www.amazon.in/s?bbn=1375248031&rh=n%3A1375248031%2Cp_89%3APortronics&dc&qid=1687369717&rnid=3837712031&ref=lp_1375248031_nr_p_89_6
